Category,Product,Price
Women,Jahaan (Universe) - Stole,Dhs. 65.00
Women,Furqat (Two Worlds Apart) - Odhni,Dhs. 65.00
Women,Kahaani (Tale Of Love) - Scarf,Dhs. 55.00
Women,Sleeveless Co-ord Set - Beige,Dhs. 55.00
Women,Gulistan (Flowerland) - Brick Red Stripes Dupatta,Dhs. 85.00
Women,Zohra (Beaming Beauty) - Black Silk Shirt,Dhs. 85.00
Women,Gumaan (Wrapped in Mystery) - Shaded Peacock Blue Odhni,Dhs. 60.00
Women,Jazba (Passion) - Green Weaved Stole,Dhs. 60.00
Women,Gulistan (Flowerland) - Brick Red Stripes Kurta,Dhs. 90.00
Women,Parvaaz (Wings Of Freedom) - Stole,Dhs. 90.00
Women,Armaan (Desire) - Beige Stole,Dhs. 70.00
Women,Riwayat (Tradition) - Stole,Dhs. 70.00
Women,Gulbahar Dupatta - Brick Red,Dhs. 75.00
Women,Armaan (Desire) - Deep Green Stole,Dhs. 75.00
Women,Fitrat (Spirit of Nature) - Indigo Dupatta,Dhs. 70.00
Women,Sitaray (Beyond The Stars) - Black Odhni,Dhs. 70.00
Women,Azaadi (Freedom) - Stole,Dhs. 85.00
Women,Parvaaz (Wings Of Freedom) - Beige Weaved Stole,Dhs. 85.00
Women,Khat (Love Letter) - Maroon Odhni,Dhs. 55.00
Women,Junoon (Passion) - Rosewood Stole,Dhs. 55.00
Women,Jazba (Passion) - Maroon Weaved Stole,Dhs. 65.00
Women,Noor (Light Of Grace) - Shades of Forest Shirt,Dhs. 65.00
Women,Fitrat (Spirit of Nature) - Green Dupatta,Dhs. 85.00
Women,Jazba (Passion) - Beige Weaved Stole,Dhs. 85.00
Women,Karvaan (Explorers) - Grey Stole,Dhs. 65.00
Women,Junoon (Passion) - Emerald Green Stole,Dhs. 65.00
Women,Fitrat (Spirit of Nature) - Indigo Flared Anarkali,Dhs. 80.00
Women,Sitaray (Beyond The Stars) - Indigo Odhni,Dhs. 80.00
Women,Qadr (Value Of Appreciation) - Olive Green Set,Dhs. 85.00
Women,Tarz (Flair & Flourish) - Shaded Green & Orange Scarf,Dhs. 85.00
Women,Beige Pants,Dhs. 35.00
Women,Rashk (Envious Moon) - Blue & White Shawl,Dhs. 35.00
Women,Huroof (Arabic Letter) - Black Stole,Dhs. 105.00
Women,Kaavish (Efforts) - Green & Brown Overshirt,Dhs. 105.00
Women,Qadr (Value Of Appreciation) - Teal Blue Set,Dhs. 65.00
Women,Gulistan (Flowerland) - Mustard Stripes Kurta,Dhs. 65.00
Women,Gulbahar Dupatta - Blue,Dhs. 145.00
Women,Gul-e-Jahaan (World Of Florals) - Blue Kurta,Dhs. 145.00
Women,Zipper Hoodie - French Vanilla,Dhs. 110.00
Women,Alfaaz (Words) - Beige Kurta,Dhs. 110.00
Women,Gulistan (Flowerland) - Blue Stripes Dupatta,Dhs. 85.00
Women,Rashk (Envious Moon) - Green & Beige Shawl,Dhs. 85.00
Women,Gumaan (Wrapped In Mystery) - Shaded Olive Green Odhni,Dhs. 65.00
Women,360° Tee (Women) - Thunder Blue,Dhs. 65.00
Women,Uns (Affection) - Stole,Dhs. 100.00
Women,Roshni (The Spark Within) - Mint & Pink Kurta,Dhs. 100.00
Women,360° Tee (Women) - Space Blue,Dhs. 70.00
Women,Straight Pant - Beige,Dhs. 70.00
Women,Mumtaz Kurta - Black Gold,Dhs. 50.00
Women,Meraas (Legacy) - Beige Odhni,Dhs. 50.00
Women,360° Tee (Men) - Space Blue,Dhs. 115.00
Women,Ishq (Love) - Black Odhni,Dhs. 115.00
Women,360° Tee (Men) - Thunder Blue,Dhs. 85.00
Women,360° Tee (Men) - Autumn Blaze,Dhs. 85.00
Women,Bol (Speak Your Truth) - Blue Odhni,Dhs. 70.00
Women,360° Tee (Women) - Autumn Blaze,Dhs. 70.00
Women,Meraas (Legacy) - Black Odhni,Dhs. 85.00
Women,Zamana (Era Of Dreams) - Ash Blue Overshirt,Dhs. 85.00
Women,Parvaaz (Wings Of Freedom) - Grey Weaved Stole,Dhs. 70.00
Women,Jazba (Passion) - Grey Weaved Stole,Dhs. 70.00
Women,Zipper Hoodie - Raven Black,Dhs. 70.00
Women,Parvaaz (Wings Of Freedom) - Maroon Weaved Stole,Dhs. 70.00
Women,Rangeen (Colorful) - Stripes Kurta,Dhs. 80.00
Women,Fitoor (Passionate Love) - Maroon Kurta,Dhs. 80.00
Women,Mumtaz Kurta - Teal Green,Dhs. 110.00
Women,Chaman (Garden) - Bottle Green Co-ord Set,Dhs. 110.00
Women,Straight Pant - White,Dhs. 115.00
Women,Anmol (Precious) - Green & Gold Kurta,Dhs. 115.00
Women,Gulistan (Flowerland) - Blue Stripes Kurta,Dhs. 140.00
Women,Husn (Beauty) - Amber Saree,Dhs. 140.00
Women,Zamana (Era of Dreams) - Black and Olive Green Cape,Dhs. 50.00
Women,Jet Black Nora Set,Dhs. 50.00
Women,Phool (Flower) - Beige & Green Kurta,Dhs. 110.00
Women,Arzoo (Desire) - Co-ord Set - Teal & Orange,Dhs. 110.00
Women,Zipper Hoodie - Deep Teal,Dhs. 85.00
Women,Pullover Hoodie - Midnight Blue,Dhs. 85.00
Women,Cloud White - Lucknow (Women),Dhs. 350.00
Women,Husn (Beauty) - Shaded Purple Stole,Dhs. 350.00
Women,360° Tee (Women) - Musky Green,Dhs. 70.00
Women,Magenta - Lucknow (Women),Dhs. 70.00
Women,360° Tee (Men) - Rustic Red,Dhs. 115.00
Women,Retro Stripes Shirt - Dark Green,Dhs. 115.00
Women,Junoon (Passion) - Midnight Blue Stole,Dhs. 70.00
Women,Yaqeen (Belief) - Teal Green Kurta,Dhs. 70.00
Women,360° Tee (Women) - Rustic Red,Dhs. 75.00
Women,Fitoor (Passionate Love) - Black Kurta,Dhs. 75.00
Women,Arzoo (Desire) - Co-ord Set - Off White & Maroon,Dhs. 65.00
Women,Fitoor (Passionate Love)  - Green Kurta,Dhs. 65.00
Women,Straight Pant - Black,Dhs. 75.00
Women,360° Tee (Men) - Musky Green,Dhs. 75.00
Women,Phool (Flower) - Stole,Dhs. 70.00
Women,Esra Co-ord Set - Black,Dhs. 70.00
Women,Khat (Love Letter) - Beige Odhni,Dhs. 110.00
Women,Chaman (Garden) - Antique Beige Co-ord Set,Dhs. 110.00
Women,Phool (Flower) - Teal & Magenta Kurta,Dhs. 110.00
Women,Pullover Hoodie - Raven Black,Dhs. 110.00
Women,Black Pants,Dhs. 105.00
Women,Zipper Hoodie - Ash Lavender,Dhs. 105.00
Women,Qudrat (Wonders Of Nature) - Blue Shrug,Dhs. 35.00
Women,Qadr (Value Of Appreciation) - Fern Green Dupatta,Dhs. 35.00
Women,Virsa Co-ord Set - Black Gold,Dhs. 110.00
Women,Blocks Silk Co-ord Set - Royal Maroon & Gold,Dhs. 110.00
Women,Chaman (Garden) - Antique Beige Shirt,Dhs. 140.00
Women,Burnt Orange Nora Set,Dhs. 140.00
Women,Virsa Co-ord Set - Earthy Green,Dhs. 70.00
Women,Phool (Flower) - Plum & Lilac Kurta,Dhs. 70.00
Women,Alfaaz (Words) - Green A-Line Kurta,Dhs. 130.00
Women,Ishq (Love) - Grey Odhni,Dhs. 130.00
Women,Rust Orange Pullover Hoodie,Dhs. 130.00
Women,Qudrat (Wonders Of Nature) - Samandar Blue Scarf,Dhs. 130.00
Women,Huroof (Arabic Letter) - Shaded Blue Stole,Dhs. 65.00
Women,Forest Green Pants,Dhs. 65.00
Women,Sehar (New Beginnings) - Beige and Green Cape,Dhs. 35.00
Women,Qadr (Value Of Appreciation) - Golden Brown Dupatta,Dhs. 35.00
Women,Taj Mahal (Symbol Of Love) - Black & Beige Scarf,Dhs. 100.00
Women,Yaqeen (Belief) - Olive Green Kurta,Dhs. 100.00
Women,Yaqeen (Belief) - Monochrome Kurta,Dhs. 70.00
Women,Magenta Nora Set,Dhs. 70.00
Women,Virsa (Heritage) - Maroon Coat,Dhs. 60.00
Women,Virsa Co-ord Set - Grey,Dhs. 60.00
Women,Ruby Red Nora Set,Dhs. 75.00
Women,White Sand Zipper Hoodie,Dhs. 75.00
Women,Ruby Red Mira Set,Dhs. 75.00
Women,Rust Orange Zipper Hoodie,Dhs. 75.00
Women,Black Inner,Dhs. 135.00
Women,Inayat (Kindness) - Scarf,Dhs. 135.00
Women,Zipper Hoodie - Very Plum,Dhs. 110.00
Women,Shahkaar (Masterpiece) - Black and Teal Cape,Dhs. 110.00
Women,Elora Velvet Co-ord Set - Earthy Green,Dhs. 100.00
Women,Rashk (Envious Moon) - Green & Beige Kurta,Dhs. 100.00
Women,Pullover Hoodie - Ash Lavender,Dhs. 195.00
Women,Khayaal (Thoughts Of Manto) - Black Kurta,Dhs. 195.00
Women,Aaina (Mirror) - Lime Green Kaftaan,Dhs. 115.00
Women,Qadr (Value Of Appreciation) - Black Set,Dhs. 115.00
Women,Qadr (Value Of Appreciation) - Turquoise Blue Set,Dhs. 105.00
Women,Esra Velvet Co-ord Set - Black,Dhs. 105.00
Women,Virsa (Heritage) - Black Coat,Dhs. 75.00
Women,Rangreza (Vibrant Visions) - Stole,Dhs. 75.00
Women,Chaman (Garden) - Deep Maroon Shirt,Dhs. 85.00
Women,Pullover Hoodie - Very Plum,Dhs. 85.00
Women,Kaavish (Efforts) - Rustic Orange Stripes Coat,Dhs. 110.00
Women,Vasl (Connection) - Burnt Orange Set,Dhs. 110.00
Women,Aaina (Mirror) - Black Kaftaan,Dhs. 85.00
Women,Magenta & Teal- Manto Blocks Stole,Dhs. 85.00
Women,Kaavish (Efforts) - Teal & Blue Vasket,Dhs. 55.00
Women,Black & White- Manto Blocks Co-Ord Set,Dhs. 55.00
Women,Vasl (Connection) - Ruby Red Set,Dhs. 130.00
Women,360° Tee (Men) - Dove White,Dhs. 130.00
Women,Sage Green Lucknow (Women),Dhs. 110.00
Women,Qadr (Value Of Appreciation) - Dark Purple Dupatta,Dhs. 110.00
Women,Midnight Blue - Lucknow (Women),Dhs. 110.00
Women,Blocks Silk Co-ord Set - Emerald Green & Gold,Dhs. 110.00
Women,Jogger Pants - Raven Black,Dhs. 70.00
Women,Jugnu (Firefly) - Royal Green Kurta,Dhs. 70.00
Women,Elora Velvet Co-ord Set - Black,Dhs. 115.00
Women,Roshni (The Spark Within) - Beige & Red Kurta,Dhs. 115.00
Women,Red & White - Manto Blocks Co-Ord Set,Dhs. 70.00
Women,Elora Co-ord Set - Earthy Green,Dhs. 70.00
Women,Honey Mustard Jogger Pants - Women,Dhs. 85.00
Women,Vasl (Connection) - Sage Green Set,Dhs. 85.00
Women,Khayaal (Thoughts Of Manto) - Blue Kurta,                                      from Dhs. 110.00                                                          
Women,Ishq (Love) - Maroon and Beige Cape,Dhs. 75.00
Women,Lyra Set - Caramel Brown,Dhs. 75.00
Women,White Sand Pullover Hoodie,Dhs. 100.00
Women,Mauve Pink Pullover Hoodie,Dhs. 100.00
Women,Shahkaar (Masterpiece) - Black and Red Cape,Dhs. 145.00
Women,Ferozi Stripes Kurta,Dhs. 145.00
Women,Mauve Pink Zipper Hoodie,Dhs. 105.00
Women,Diwani (Madly In Love) - Rustic Orange Long Shirt,Dhs. 105.00
Women,Honey Mustard Jogger Pants - Men,Dhs. 105.00
Women,Saqafat (Culture) - Green & Brown Kurta,Dhs. 105.00
Women,Pullover Hoodie - Deep Teal,Dhs. 100.00
Women,Mustard Yellow Nora Set,Dhs. 100.00
Women,Huroof (Arabic Letter) - Shaded Blue Shrug,Dhs. 80.00
Women,Virsa (Heritage) - Shades Of Grey Silk Shirt,Dhs. 80.00
Women,Green & Beige - Manto Blocks Co-Ord Set,Dhs. 80.00
Women,Sage Green Nora Set,Dhs. 110.00
Women,Zamana (Era Of Dreams) - Ash Blue Vasket,Dhs. 110.00
Women,Aaina (Mirror) - Arctic Blue Kaftaan,Dhs. 135.00
Women,Qadr (Value Of Appreciation) - Magenta Dupatta,Dhs. 135.00
Women,Primrose Yellow - Kalidaar,Dhs. 130.00
Women,Sage Green Zipper Hoodie,Dhs. 130.00
Women,Black & White- Manto Blocks Stole,Dhs. 85.00
Women,Khayaal (Thoughts Of Manto) - Burgundy Kurta,Dhs. 85.00
Women,Gumaan (Wrapped In Mystery) - Shaded Ivory Odhni,Dhs. 70.00
Women,Soft-White Zipper Hoodie - Men,Dhs. 70.00
Women,Jogger Pants - French Vanilla,Dhs. 165.00
Women,Magenta Mira Set,Dhs. 165.00
Women,Cream White Vasket,Dhs. 110.00
Women,Jugnu (Firefly) - Antique Maroon Kurta,Dhs. 110.00
Women,Deep Teal Mira Set,Dhs. 135.00
Women,Aaina (Mirror) - Rouge Pink Kaftaan,Dhs. 135.00
Women,Midnight Blue Nora Set,Dhs. 85.00
Women,Ruby Red - Lucknow (Women),Dhs. 85.00
Women,Khat (Love Letter) - Rustic Orange Kurta,Dhs. 135.00
Women,Vasl (Connection) - Burnt Orange Dupatta,Dhs. 135.00
Women,Vasl (Connection) - Turquoise Blue Set,Dhs. 115.00
Women,Opal Blue - Kalidaar,Dhs. 115.00
Women,Virsa (Heritage) - Beige Silk Long Shirt,Dhs. 75.00
Women,Qudrat (Wonder Of Nature) - Lime Green Scarf,Dhs. 75.00
Women,Cloud White Nora Set,Dhs. 70.00
Women,Paheli (Riddle Of Life) - Green & Orange Kurta,Dhs. 70.00
Women,Huroof (Arabic Letter) - Shaded Green Shrug,                                      from Dhs. 110.00                                                          
Women,Virsa (Heritage) - Shades Of Blue Silk Shirt,Dhs. 165.00
Women,Ishq (Love) - Black & Rust Stole,Dhs. 165.00
Women,Azmat (Aura Of Excellence) - Scarf,Dhs. 99.00
Women,Virsa Stole,Dhs. 55.00
Women,Arz-e-Watan (Ode To My Motherland) - Scarf,Dhs. 55.00
